baseline_date,datetime,id,node,element_id,mo,parameter,baseline,configured,mml,golden,status
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62460,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62460,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62461,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62461,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62592,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62592,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62593,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62593,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62594,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62594,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62598,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62598,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62599,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62599,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,62600,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=62600,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,63510,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=63510,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,63511,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=63511,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,63512,UCELLACCESSSTRICT,CELLRESERVATIONEXTENSION,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=63512,CELLRESERVATIONEXTENSION=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61959,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61959,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61960,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61960,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61952,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61952,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61953,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61953,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61954,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61954,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61956,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61956,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61958,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61958,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61962,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61962,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61963,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61963,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
2017-11-22,2017-11-22 06:00:52,baseline,RNCMS03,61964,UCELLACCESSSTRICT,CELLRESERVEDFOROPERATORUSE,NOT_RESERVED,RESERVED,"MOD UCELLACCESSSTRICT:CELLID=61964,CELLRESERVEDFOROPERATORUSE=NOT_RESERVED;{RNCMS03}",f,NOK
