year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,5,ES,RNCES01,UESVIT42,940,0,2.63,3072,3.18,,,,2560,11.24,,,
2017,5,MG,RNCMG03,UMGMCL24,580,0,0.6,1536,0.94,,,,1536,2.9,,,
2017,5,NE,RNCCE02,UCEMGSR1,,0,0,,,,,,,,,,
2017,5,MG,RNCMG06,UMGULA01,120,0,5.85,768,3.65,,,,768,11.44,,,
2017,5,PRSC,RNCPR03,UPRCAB03,100,0,4.21,768,2.38,,,,576,12.1,,,
2017,5,PRSC,RNCSC02,NS01SCBQER1,,0,0,,,,,,,,,,
2017,5,NE,RNCAL01,NS01ALTNV01,,0,0,,,,,,,,,,
2017,5,CO,RNCMS03,UMSCPE06,170,0,18.99,1536,9.13,,,,1536,26.6,,,
2017,5,PRSC,RNCPR01,KPRADBI1,1100,0,0.88,3072,0.97,,,,2048,0.16,,,
2017,5,MG,RNCMG07,UMGIGN02,120,0,0.51,768,0.44,,,,768,2.09,,,
2017,5,CO,RNCGO04,UGOACG26,820,0,8.72,2304,13.81,,,,1792,57.67,,,
2017,5,NE,RNCRN01,URNINC01,580,0,1.62,1536,2.71,,,,1536,9.94,,,
2017,5,MG,RNCMG01,UMGBRT25,100,0,7.05,768,4.39,,,,,,,,
2017,5,BASE,RNCBA03,UBACIS05,120,0,7.61,768,5.72,,,,768,16.48,,,
2017,5,PRSC,RNCSC01,NS01SCCUA03,,0,0,,,,,,,,,,
2017,5,ES,RNCES01,WESVIT14,100,0,5.87,768,3.83,,,,576,19.2,,,
2017,5,CO,RNCGO05,UGORVD21,900,0,5.61,2304,9.44,,,,1536,43.36,,,
2017,5,PRSC,RNCPR02,UPRPGO15,170,161.25,4.98,1536,2.54,,,,1536,7.04,,,
2017,5,CO,RNCAC01,UACCPB01,700,0,0.97,1536,2.79,,,,1024,16.52,,,
2017,5,NE,RNCCE02,UCESBN01,900,0,4.04,2304,9.36,,,,1536,49.36,,,
2017,5,CO,RNCDF03,UDFPADR4,170,0,5.84,1536,4.33,,,,1536,15.67,,,
