"week";"cellname";"REGIONAL";"count";"covered_sites"
10;"UGOGNA0OK";"CO";2;"UGOGNA3E,UGOGNAC0"
14;"UGOGNA09F";"CO";3;"UGOACG03,UGOGNA1I,UGOGNA60"
11;"UPEPLS02O";"NE";1;"UPEPLS01"
8;"UMGVAR092";"MG";1;"UMGVAR08"
10;"UPRCCJ07B";"PRSC";1;"UPRCCJ31"
8;"UDFSQN43A";"CO";5;"UDFSQN19,UDFSQN21,UDFSQN42,UDFSQN44,UDFSQNIB"
13;"UPRMOS07A";"PRSC";1;"UPRPPR06"
7;"UGOSHG03I";"CO";3;"UGOSHG02,UGOSHG06,UGOSHG07"
13;"UMGCTG090";"MG";2;"UMGCTG04,UMGCTG12"
13;"UDFSQN28A";"CO";3;"UDFSQN30,UDFSQN36,UDFSQNI9"
11;"UMSCPE88G";"CO";2;"UMSCPE0E,WMSCPE0E"
6;"UCEQXM01C";"NE";1;"UCEQXM07"
11;"UBASMF14F";"BASE";2;"UBASMF03,UBASMF05"
7;"UDFSQS03F";"CO";3;"UDFSQS19,UDFSQS80,UDFSQSA0"
6;"UDFGMA22M";"CO";2;"UDFTAG29,WDFTAG29"
11;"UCEAER10J";"NE";5;"CCEAERI2,KCEAERI2,UCEAERI2,UCECOW08,WCEAERI2"
12;"UGORVD22C";"CO";5;"UGORVD04,UGORVD09,UGORVD13,UGORVD15,UGORVD35"
8;"UCEBBB01C";"NE";1;"UCEBBBR1"
14;"UGOACG16N";"CO";1;"UGOACG26"
8;"UMGCNO072";"MG";3;"UMGCNO01,UMGCNOI1,UMGFTA12"
10;"UPBSRI02B";"NE";13;"UPBCRI01,UPBCRI04,UPBCRI05,UPBCRI07,UPBCRI09,UPBCRI11,UPBCRI12,UPBCRI13,UPBCRI26,WPBCRI01,WPBCRI05,WPBCRI11,WPBCRI26"
8;"UPRCCJ08B";"PRSC";1;"UPRCCJ10"
12;"UGOANS04I";"CO";2;"UGOANS12,UGOANS25"
11;"UDFSQN41J";"CO";20;"UDFSQN18,UDFSQN26,UDFSQNI3,UDFSQNI8,UDFSQNX3,UDFSQS12,UDFSQS13,UDFSQS14,UDFSQS36,UDFSQS46,UDFSQS48,UDFSQS52,UDFSQS96,UDFSQSB2,UDFSQSI3,UDFSQSI4,UDFSQSIC,UDFSQSID,UDFSQSIE,WDFSQS12"
14;"UDFSQS0JO";"CO";4;"UDFSQS16,UDFSQS43,UDFSQS54,UDFSQSB5"
9;"UGOSCQ03E";"CO";1;"UGOSCQ10"
6;"UPITER23C";"NE";1;"UPITER32"
11;"UTOTAQ03A";"CO";2;"UTOPMJ11,UTOTAQ13"
7;"UMTROI06B";"CO";5;"UMTROI03,UMTROI07,UMTROI10,UMTROII1,WMTROI09"
9;"UMGIPG051";"MG";2;"UMGIPG06,UMGIPG23"
11;"UPEBVT25E";"NE";2;"UPEBVT08,UPEBVT28"
10;"UBAIBU05C";"BASE";2;"UBAIBU09,UBAIBU12"
8;"UPECOW06N";"NE";20;"UPEBVT03,UPEBVT04,UPEBVT05,UPEBVT06,UPEBVT10,UPEBVT14,UPEBVT15,UPEBVT19,UPEBVT24,UPEBVT25,UPEBVT28,UPEBVT31,UPEBVT32,UPEBVTI1,UPECOW09,UPECOW24,UPECOW25,UPECOW27,UPECOW28,UPEEPHI3"
7;"UPRCSF47E";"PRSC";2;"UPRCSF44,UPRCSF45"
11;"UMSCPE50I";"CO";2;"UMSCPE79,WMSCPE79"
8;"UGORVD18M";"CO";2;"UGORVD06,UGORVD17"
13;"URNCAY04F";"NE";1;"URNCAY02"
9;"UGOSCQ06O";"CO";11;"UGOACG14,UGOGNA0C,UGOGNA33,UGOGNA3Y,UGOGNA76,UGOGNA88,UGOGNA93,UGOGNAB7,UGOSCQ07,UGOSCQ08,WGOGNA33"
9;"UPETTA01N";"NE";2;"UPETTA02,UPETTA03"
13;"UPITER20I";"NE";1;"UPITER10"
8;"UDFSQS71O";"CO";24;"UDFSQS0C,UDFSQS0M,UDFSQS17,UDFSQSD3,UDFTAG02,UDFTAG08,UDFTAG11,UDFTAG13,UDFTAG14,UDFTAG20,UDFTAG23,UDFTAG30,UDFTAG31,UDFTAG40,UDFTAG41,UDFTAG51,UDFTAG55,UDFTAG68,UDFTAG92,UDFTAGI1,UDFTAGR1,WDFTAG11,WDFTAG40,WDFTAG92"
10;"UGORVD06M";"CO";2;"UGORVD17,UGORVD34"
9;"URNPNG08M";"NE";3;"URNPNG01,URNPNG14,WRNPNG01"
6;"URNPNG04C";"NE";5;"URNPNG02,URNPNG03,URNPNG05,URNPNG07,URNPNG11"
14;"UCEACA03G";"NE";1;"UCEACA04"
7;"UGOACG15K";"CO";1;"UGOACG18"
14;"UDFSQS78M";"CO";7;"UDFSQS19,UDFSQS80,UDFSQS96,UDFSQSA0,UDFSQSI7,UDFSQSIH,UDFSQSIK"
8;"URNMCI09C";"NE";1;"URNMCI01"
13;"URNPTG06J";"NE";9;"URNPTG01,URNPTG04,URNPTG09,URNPTG11,URNPTG13,URNSGM01,WRNPTG01,WRNPTG04,WRNPTG05"
8;"UPBCGE21M";"NE";1;"UPBCGE06"
8;"UPBPOZ01B";"NE";1;"UPBGBI01"
10;"UMGCMD01O";"MG";1;"UMGCMD03"
11;"UGOGNA94A";"CO";2;"UGOGNA27,UGOGNA2S"
8;"UDFSQN18F";"CO";3;"UDFSQS12,UDFSQS52,WDFSQS12"
14;"UMGBAR022";"MG";1;"UMGBAR03"
10;"UESSER051";"ES";1;"UESSER10"
12;"UMTCBA52A";"CO";1;"UMTCBA40"
12;"URNPTG02G";"NE";5;"URNPTG04,URNPTG11,URNPTG13,WRNPTG04,WRNPTG05"
9;"UGOGNA3TG";"CO";1;"UGOGNA1U"
9;"UCETIG03E";"NE";2;"UCETIG01,UCETIG06"
9;"URNMCI03B";"NE";6;"URNMCI01,URNMCI05,URNMCI09,URNMCI10,URNMCI12,WRNMCI04"
10;"UDFSQS0PO";"CO";3;"UDFGMA08,UDFGMA18,UDFGMA81"
7;"UGOANS22I";"CO";2;"UGOANS04,UGOANS25"
6;"UPITER13E";"NE";1;"UPITER24"
12;"UMGOBR04I";"MG";1;"UMGOBR01"
8;"UMGPAM27O";"MG";2;"UMGPAM05,UMGPAM30"
14;"UMGBBC06N";"MG";1;"UMGBBC03"
8;"UALCLI28I";"NE";3;"UALCLI04,UALCLI09,WALCLI04"
13;"UCEAER04O";"NE";1;"UCEAER01"
9;"UBATPT01I";"BASE";1;"UBATPT02"
7;"UMTCBA79C";"CO";1;"UMTCBA14"
9;"UGOACG31K";"CO";2;"UGOACG08,UGOACG36"
11;"UGOGNA0BF";"CO";1;"UGOGNA2M"
7;"UGOANS27J";"CO";3;"UGOANS31,UGOANS68,UGOANS74"
13;"UMGPOA050";"MG";2;"UMGPOA01,UMGPOA08"
11;"UPRSAR03C";"PRSC";2;"UPRMGA12,UPRMGA13"
9;"UGOGNA64C";"CO";4;"UGOGNA0P,UGOGNA13,UGOGNA14,UGOGNA44"
7;"UCEHZT01F";"NE";2;"UCEHZT02,UCEHZT04"
10;"UCEPAR09J";"NE";3;"UCEPAR12,UCEPAR25,WCEPAR25"
14;"URNPTG13G";"NE";2;"URNSGM01,URNSGM02"
7;"UESVVE093";"ES";1;"UESVVE17"
6;"UGOANS27N";"CO";3;"UGOANS31,UGOANS68,UGOANS74"
10;"UGOGNA1PJ";"CO";3;"UGOGNA32,UGOGNA93,UGOGNAB0"
9;"UESMTZ02I";"ES";1;"UESMTZ01"
11;"UPEBOV09K";"NE";2;"UPEIPS08,UPEIPS12"
13;"UGOGNA36I";"CO";1;"UGOGNAA2"
7;"UGOGNAA6B";"CO";2;"UGOGNA28,UGOGNA65"
6;"UMGSLG052";"MG";1;"UMGSLG01"
14;"UDFSQN23J";"CO";6;"CDFSQNIA,KDFSQNIA,UDFSQN02,UDFSQN39,UDFSQNIA,WDFSQNIA"
12;"USCFNS28C";"PRSC";1;"USCFNS25"
8;"UGOGNAC3O";"CO";2;"UGOGNA28,UGOGNAA6"
8;"UMGDIV150";"MG";1;"UMGDIV05"
14;"UMSCPE25F";"CO";2;"UMSCPE1P,UMSCPEI3"
13;"UPIPNA05J";"NE";1;"UPIPNA04"
11;"UROPVO46A";"CO";6;"UROPVO03,UROPVO22,UROPVO28,UROPVO37,UROPVO58,WROPVO22"
9;"UGOCLV03B";"CO";2;"UGOCLV02,WGOCLV02"
8;"UDFGMA11K";"CO";4;"UDFGMA02,UDFGMA48,UDFGMA49,WDFGMA02"
8;"UMTCBA25F";"CO";1;"UMTCBA27"
7;"WDFTAG39I";"CO";1;"UDFTAG31"
13;"UMGMNH07J";"MG";2;"UMGMNH01,UMGMNH16"
8;"UPRLDA41A";"PRSC";8;"UPRLDA10,UPRLDA19,UPRLDA23,UPRLDA24,UPRLDA25,UPRLDA26,UPRLDA29,UPRLDA37"
9;"UPRLDA09A";"PRSC";1;"UPRLDA30"
7;"UMGMRN01N";"MG";1;"UMGMRN09"
14;"UPRCSF43A";"PRSC";3;"UPRCSF06,UPRCSF51,UPRCSF63"
10;"URNALC01N";"NE";4;"URNLNV02,URNLNV04,URNLNV24,URNLNVI2"
10;"UTOTAQ01G";"CO";1;"UTOTAQ11"
14;"UGOACG05F";"CO";1;"UGOACG10"
7;"UESSMA01J";"ES";1;"UESSMA03"
12;"UMGMCH011";"MG";1;"UMGMCH02"
10;"WMSCPE75M";"CO";1;"UMSCPE29"
6;"URNPTG02C";"NE";5;"URNPTG04,URNPTG11,URNPTG13,WRNPTG04,WRNPTG05"
